grid_size,num_robots,avg_coverage_time,min_coverage_time,max_coverage_time,std_coverage_time,success_rate,avg_total_steps,avg_coverage_pct,avg_cells_per_robot,avg_path_per_robot
16,5,139.84,79,331,59.209242521754994,100.0,139.84,100.0,47.6,47.6
16,10,70.4,45,160,25.540555984551315,100.0,70.4,100.0,23.8,23.8
16,15,44.0,30,62,8.212186067059124,100.0,44.0,100.0,15.866666666666667,15.866666666666667
16,20,35.24,19,65,8.914168497397837,100.0,35.24,100.0,11.9,11.9
16,25,27.96,21,43,5.709500853840027,100.0,27.96,100.0,9.52,9.52
16,30,24.56,17,42,5.24656077826227,100.0,24.56,100.0,7.933333333333334,7.933333333333334
16,35,20.76,14,31,4.264082550795657,100.0,20.76,100.0,6.8,6.8
16,40,16.92,11,27,3.6760848738841707,100.0,16.92,100.0,5.95,5.95
50,50,308.04,179,430,77.47953536257171,100.0,308.04,100.0,46.5,46.5
50,100,138.4,81,290,42.36980056596916,100.0,138.4,100.0,23.25,23.25
50,150,96.36,61,186,33.19865057498573,100.0,96.36,100.0,15.5,15.5
50,200,72.0,39,207,33.7354413043612,100.0,72.0,100.0,11.625,11.625
50,250,49.92,30,86,14.19273053362178,100.0,49.92,100.0,9.3,9.3
50,300,38.24,26,67,8.6453687023747,100.0,38.24,100.0,7.75,7.75
50,350,31.12,20,54,9.249086441373548,100.0,31.12,100.0,6.642857142857143,6.642857142857143
50,400,24.76,15,43,5.770823164852653,100.0,24.76,100.0,5.8125,5.8125
50,450,22.36,15,36,5.402814081568974,100.0,22.36,100.0,5.166666666666666,5.166666666666666
50,500,19.04,11,34,5.792961246202153,100.0,138.52,100.0,4.65,4.65
